time,plosses,line,phase
11340,810.0,0.5086270439668926,LINE25,3.0
11341,810.0,0.7516468269835773,LINE41,2.0
11342,810.0,0.0007505176092413604,LINE38,3.0
11343,810.0,0.8049127152154467,LINE38,1.0
11344,810.0,6.542711181747802,LINE14,3.0
11345,810.0,4.5690667530666945e-06,LINE37,2.0
11346,810.0,1.27952560087006e-35,LINE30,2.0
11347,810.0,14.406204427916325,LINE15,1.0
11348,810.0,8.498941842815224,LINE28,1.0
11349,810.0,6.223044414554649,LINE23,1.0
11350,810.0,1.0991090058458244,LINE16,1.0
11351,810.0,0.010918646679129297,LINE21,2.0
11352,810.0,7.344858597497794,LINE22,1.0
11353,810.0,0.0,LINE16,3.0
11354,810.0,0.0,LINE40,1.0
11355,810.0,-6.018531076210112e-36,LINE31,1.0
11356,810.0,3.8389550434978204,LINE1,3.0
11357,810.0,0.8643596779464899,LINE24,3.0
11358,810.0,5.630004909674155,LINE37,1.0
11359,810.0,5.2269108170269885,LINE10,1.0
11360,810.0,9.225062564287093,LINE9,3.0
11361,810.0,1.0170142694755042,LINE34,1.0
11362,810.0,0.0,LINE41,3.0
11363,810.0,26.558014833531224,LINE5,3.0
11364,810.0,4.1698877286511814e-29,LINE45,3.0
11365,810.0,1.064732821099765,LINE18,1.0
11366,810.0,-2.0679515313828983e-24,LINE10,3.0
11367,810.0,0.0,LINE25,2.0
11368,810.0,-0.0027811017988839735,LINE32,3.0
11369,810.0,1.7362853263832989e-40,LINE35,3.0
11370,810.0,0.0020726624432721398,LINE36,3.0
11371,810.0,-1.2048817095928447e-35,LINE42,1.0
11372,810.0,-1.5075715049295837e-36,LINE30,1.0
11373,810.0,0.42107364204707165,LINE40,2.0
11374,810.0,-0.02533692090936166,LINE13,3.0
11375,810.0,-0.12425059413831623,LINE15,3.0
11376,810.0,0.0,LINE24,1.0
11377,810.0,7.643512544646444,LINE1,2.0
11378,810.0,23.6387213672084,LINE5,2.0
11379,810.0,19.57859294529099,LINE9,1.0
11380,810.0,0.0,LINE19,3.0
11381,810.0,-1.2037062152420224e-35,LINE16,2.0
11382,810.0,0.6498351522156389,LINE31,3.0
11383,810.0,309.2588155409151,LINE2,1.0
11384,810.0,4.416731749900956e-06,LINE29,3.0
11385,810.0,2.350988701644575e-38,LINE17,3.0
11386,810.0,113.13663960209644,LINE2,3.0
11387,810.0,9.495567745759799e-66,LINE27,3.0
11388,810.0,2.6608527664098984,LINE28,2.0
11389,810.0,2.5649246556912744e-35,LINE31,2.0
11390,810.0,4.51142463298744e-06,LINE37,3.0
11391,810.0,-3.0151430098591675e-36,LINE41,1.0
11392,810.0,4.8904740689643535,LINE29,2.0
11393,810.0,31.343652934266004,LINE9,2.0
11394,810.0,6.685779621258922,LINE15,2.0
11395,810.0,1.0828996330215548,LINE43,3.0
11396,810.0,1.1754943508222875e-38,LINE24,2.0
11397,810.0,-3.009265538105056e-36,LINE26,1.0
11398,810.0,15.539487015120619,LINE22,2.0
11399,810.0,1.0808524605404504,LINE26,2.0
11400,810.0,40.994937865530034,LINE5,1.0
11401,810.0,9.098986738083398e-24,LINE12,3.0
11402,810.0,-1.8611563782447354e-24,LINE14,1.0
11403,810.0,0.0,LINE19,2.0
11404,810.0,6.07905798115531,LINE12,2.0
11405,810.0,0.4610310219794529,LINE27,2.0
11406,810.0,7.926752790983426e-06,LINE6,3.0
11407,810.0,1.504632769052528e-36,LINE43,2.0
11408,810.0,0.0,LINE26,3.0
11409,810.0,45.728709854451516,LINE7,1.0
11410,810.0,-2.0679515313824987e-24,LINE10,2.0
11411,810.0,4.1359030627726615e-25,LINE33,1.0
