time,load,Pd,Qd
627,280.0,LOAD19,61.0,-0.46184
628,280.0,LOAD8,61.0,-2.2799
629,280.0,LOAD14,150.0,144.9211
630,280.0,LOAD6,24.0,-1.6361
631,280.0,LOAD18,68.0,-0.034361
632,280.0,LOAD7,23.0,-1.528
633,280.0,LOAD13,43.0,-2.4224
634,280.0,LOAD2,213.0,202.016
635,280.0,LOAD1,46.0,-1.9949
636,280.0,LOAD10,125.0,-2.5649
637,280.0,LOAD11,41.0,-1.4936
638,280.0,LOAD23,249.0,252.8124
639,280.0,LOAD3,23.0,-4.0505
640,280.0,LOAD21,175.0,201.8736
641,280.0,LOAD5,30.0,-4.4667
642,280.0,LOAD15,56.0,-1.6018
643,280.0,LOAD16,183.0,200.8074
644,290.0,LOAD10,325.0,250.5325
